Wed Jan 18 11:49:05 2023    profile.dat

         3124711 function calls (3050196 primitive calls) in 1.093 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
674744/674214    0.045    0.000    0.054    0.000 {built-in method builtins.isinstance}
   238151    0.028    0.000    0.028    0.000 {method 'startswith' of 'str' objects}
   173923    0.017    0.000    0.017    0.000 {built-in method builtins.hasattr}
   112921    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
   111217    0.007    0.000    0.009    0.000 {method 'get' of 'dict' objects}
    74607    0.004    0.000    0.004    0.000 {built-in method posix.fspath}
    68924    0.014    0.000    0.018    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/sdk/data_types/_dtypes.py:197(params)
    60549    0.008    0.000    0.008    0.000 {method 'endswith' of 'str' objects}
    53355    0.009    0.000    0.012    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/posixpath.py:41(_get_sep)
    42767    0.042    0.000    0.066    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/posixpath.py:71(join)
    42725    0.007    0.000    0.007    0.000 {method 'partition' of 'str' objects}
    42712    0.108    0.000    0.108    0.000 {built-in method posix.lstat}
    42695    0.003    0.000    0.003    0.000 {built-in method _stat.S_ISLNK}
36588/5330    0.035    0.000    0.203    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/data_types.py:105(_json_helper)
35084/34793    0.002    0.000    0.003    0.000 {built-in method builtins.len}
    34416    0.002    0.000    0.002    0.000 {built-in method builtins.id}
    33727    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
    33397    0.002    0.000    0.002    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/sdk/data_types/_dtypes.py:194(__init__)
    33396    0.006    0.000    0.008    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/util.py:574(is_numpy_array)
    33391    0.005    0.000    0.007    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/util.py:1809(_is_artifact_string)
