Wed Jan 18 11:49:05 2023    profile.dat

         3124711 function calls (3050196 primitive calls) in 1.093 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    42712    0.108    0.000    0.108    0.000 {built-in method posix.lstat}
        1    0.082    0.082    0.082    0.082 {method 'to_pydict' of 'pyarrow.lib.Table' objects}
    33390    0.068    0.000    0.149    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/util.py:706(json_friendly)
     3518    0.045    0.000    0.231    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/posixpath.py:400(_joinrealpath)
674744/674214    0.045    0.000    0.054    0.000 {built-in method builtins.isinstance}
    42767    0.042    0.000    0.066    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/posixpath.py:71(join)
36588/5330    0.035    0.000    0.203    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/data_types.py:105(_json_helper)
     7040    0.028    0.000    0.040    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/posixpath.py:337(normpath)
   238151    0.028    0.000    0.028    0.000 {method 'startswith' of 'str' objects}
33391/33365    0.027    0.000    0.056    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/sdk/data_types/_dtypes.py:55(type_of)
23961/248    0.022    0.000    0.075    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/copy.py:128(deepcopy)
   173923    0.017    0.000    0.017    0.000 {built-in method builtins.hasattr}
     3466    0.016    0.000    0.016    0.000 {built-in method posix.stat}
    68924    0.014    0.000    0.018    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/sdk/data_types/_dtypes.py:197(params)
    33385    0.013    0.000    0.033    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/sdk/data_types/_dtypes.py:218(assign_type)
33391/33365    0.011    0.000    0.100    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/sdk/data_types/_dtypes.py:203(assign)
       22    0.011    0.000    0.348    0.016 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/inspect.py:850(getmodule)
    33391    0.010    0.000    0.010    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/util.py:410(get_full_typename)
