Thu Jan 19 17:48:17 2023    profile.dat

         19705733 function calls (16881799 primitive calls) in 2162.912 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2736823/388694    2.145    0.000    2.324    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\nn\modules\module.py:1847(named_modules)
1841043/1715146    0.558    0.000    0.950    0.000 {built-in method builtins.isinstance}
   827641    0.320    0.000    0.489    0.000 {method 'add' of 'set' objects}
   790157    0.217    0.000    0.217    0.000 {built-in method builtins.id}
   774872    0.167    0.000    0.167    0.000 {method 'items' of 'collections.OrderedDict' objects}
   729398    0.372    0.000    0.570    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\_tensor.py:928(__hash__)
   494391    0.261    0.000    0.363    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\tqdm\utils.py:330(<genexpr>)
   490117    0.102    0.000    0.102    0.000 {built-in method unicodedata.east_asian_width}
   451153    0.141    0.000    0.141    0.000 {method 'get' of 'dict' objects}
   315531    0.993    0.000    3.589    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\nn\modules\module.py:1675(_named_members)
   315531    0.178    0.000    3.768    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\nn\modules\module.py:1713(named_parameters)
   312000   94.436    0.000   94.436    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
   288492    0.200    0.000    0.257    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\nn\modules\module.py:1735(<lambda>)
284607/281895    0.104    0.000    0.120    0.000 {built-in method builtins.len}
   278599    0.762    0.000    0.773    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\nn\modules\module.py:1256(__getattr__)
   240429    0.080    0.000    0.080    0.000 {method 'startswith' of 'str' objects}
   217099    0.082    0.000    0.106    0.000 {built-in method builtins.hasattr}
   212312    0.529    0.000    0.529    0.000 {method 'to' of 'torch._C._TensorBase' objects}
   211662    1.138    0.000    1.138    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
   210216    0.135    0.000    2.811    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\nn\modules\module.py:1688(parameters)
   208000   76.082    0.000   76.082    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
192391/192322    0.118    0.000    0.134    0.000 {built-in method builtins.getattr}
   192146    0.308    0.000    0.370    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\nn\modules\module.py:1799(named_children)
   191955    0.184    0.000    0.553    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\nn\modules\module.py:1790(children)
   136396    0.969    0.000    0.969    0.000 {built-in method torch._C._get_tracing_state}
   136380    0.065    0.000    0.065    0.000 {built-in method torch._C._has_torch_function_unary}
135994/1402    5.183    0.000  661.606    0.472 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\nn\modules\module.py:1188(_call_impl)
   124628    0.147    0.000    0.215    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\_VF.py:26(__getattr__)
   112602    0.104    0.000    0.104    0.000 {built-in method math.sqrt}
   105554    0.043    0.000    0.043    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
   105288    0.030    0.000    0.030    0.000 {method 'append' of 'list' objects}
